ADOPTION OF CONTOUR SOLUTIONS AS DEFINITIVE;4;Yes
ADOPTION OF CONTOUR SOLUTIONS AS DEFINITIVE;6;No
AVOID CHANGES IN WORKING CODE;1;No
BAD DESIGN;11;Yes
BAD DESIGN;12;No
BAD TECHNICAL LEADERSHIP;3;Yes
BAD TECHNICAL LEADERSHIP;6;No
BE RESPONSIBLE FOR CODE FROM OTHERS;1;Yes
BE RESPONSIBLE FOR CODE FROM OTHERS;1;No
CHANGE IN DESIGN;4;Yes
CHANGE IN DESIGN;2;No
CHANGE IN EXTERNAL COMPONENT;1;Yes
CHANGE IN EXTERNAL COMPONENT;2;No
CHANGE OF REQUIREMENTS;12;Yes
CHANGE OF REQUIREMENTS;5;No
CHANGE OF SCOPE;3;Yes
CHANGE OF SCOPE;6;No
COMPLEXITY OF THE PROJECT;2;Yes
COMPLEXITY OF THE PROJECT;3;No
CONCERN WITH JUST BACK-END DEVELOPMENT;2;Yes
COST;8;Yes
COST;14;No
CUSTOMER DOES NOT KNOW HIS OWN NEEDS;8;Yes
CUSTOMER DOES NOT KNOW HIS OWN NEEDS;9;No
CUSTOMER DOES NOT LISTEN TO PROJECT TEAM;4;Yes
CUSTOMER DOES NOT LISTEN TO PROJECT TEAM;3;No
CUSTOMER DOES NOT WILLING TO PAY;1;No
DEADLINE;42;Yes
DEADLINE;62;No
DEPLOYMENT;1;Yes
DEPLOYMENT;1;No
DEVELOPERS DO NOT LIKE TO DO SOME ACTIVITIES;2;Yes
DEVELOPERS DO NOT LIKE TO DO SOME ACTIVITIES;3;No
DISCONTINUED COMPONENT;2;Yes
DISCONTINUED COMPONENT;3;No
DO BACK-END;1;Yes
ESTABLISHED TIME PERIODS;1;No
EXTERNAL COMPONENT DEPENDENCY;3;Yes
EXTERNAL COMPONENT DEPENDENCY;9;No
FEAR TO GIVE AN OPINION;1;No
FOCUS ON PRODUCING MORE AT THE EXPENSE OF QUALITY;18;Yes
FOCUS ON PRODUCING MORE AT THE EXPENSE OF QUALITY;34;No
HIGH TURNOVER OF THE TEAM;7;Yes
HIGH TURNOVER OF THE TEAM;11;No
INACCURATE OR COMPLEX REQUIREMENT;5;Yes
INACCURATE OR COMPLEX REQUIREMENT;14;No
INACCURATE TIME ESTIMATE;14;Yes
INACCURATE TIME ESTIMATE;28;No
INADEQUATE CHOICE OF TECHNOLOGY / TOOL / PLATFORM;4;Yes
INADEQUATE CHOICE OF TECHNOLOGY / TOOL / PLATFORM;4;No
