CODE REWRITING;REFACTORING
REDESIGN;IMPROVE DESIGN
EXTRA EFFORT;EXTRA EFFORT
N/A;-
BUDGET INCREASE;BUDGET INCREASE
TIME EXTENSION;TIME EXTENSION
INCREMENTAL;INCREMENTAL
PROJECT SCOPE CHANGE;PROJECT SCOPE CHANGE
REFACTORING;REFACTORING
CODE ANALYSIS;CODE REVIEWING
MANAGEMENT DECISIONS;MANAGEMENT ACTIONS
DOCUMENTATION IMPROVING;IMPROVE DOCUMENTATION
DEVOPS;DEVOPS
BACKLOG INCLUSION;BACKLOG INCLUSION
AUTOMATED TESTING;IMPROVE TESTING
MANAGEMENT ACTIONS;MANAGEMENT ACTIONS
TECHNOLOGY/TOOL/PLATFORM CHANGE;TECHNOLOGY/TOOL/PLATFORM CHANGE
EXTERNAL TOOLS;EXTERNAL TOOLS
PRIORITIZATION;PRIORITIZATION
APPROPIATE TESTS;IMPROVE TESTING
BUG FIXING;BUG FIXING
SPLITTING GOD OBJECT;SPLITTING GOD OBJECT
REMOVING DUPLICATED CODE;REMOVING DUPLICATED CODE
CONTROL AND MONITORING;CONTROL AND MONITORING
MAJOR REFACTORING;MAJOR REFACTORING
CODE REUSE;CODE REVIEWING
NEW TEST SET;IMPROVE TESTING
REPAYMENT CAMPAINGS;REPAYMENT ACTIVITIES
RISK ANALYSIS;ADEQUATE IMPACT AND RISK ANALYSIS
RESOLVING CODE SMELL;RESOLVING CODE SMELL
WELL-DEFINED PROCESS;WELL-DEFINED PROCESS
CHANGE OF PROJECT MANAGEMENT;CHANGE OF PROJECT MANAGEMENT
TEAM COLLABORATION;TEAM COLLABORATION
CI/CD;CI/CD
AUTOMATED DEPLOYMENT;AUTOMATED DEPLOYMENT
CHANGES IN REQUIREMENT ELICITATION;IMPROVEMENT IN REQUIREMENT ELICITATION
