CAUSES;REPAYMENTS;FREQ
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);ADOPTION OF GOOD PRACTICES;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);CI/CD;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);CONTINUOS LEARNING;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);CONTROL AND MONITORING;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);DEVOPS;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);EXTRA EFFORT;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);HIRING QUALIFIED PROFESSIONALS;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);IMPROVE DESIGN;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);ORGANISATION OF THE PROJECT REPOSITORY;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);REFACTORING;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);REPAYMENT ACTIVITIES;1
10. LACK OF WELL DEFINED PROC. (Paid: 23.7%);TECHNOLOGY/TOOL/PLATFORM CHANGE;1
1. DEADLINE (Paid: 40.4%);REFACTORING;18
1. DEADLINE (Paid: 40.4%);IMPROVE TESTING;6
1. DEADLINE (Paid: 40.4%);IMPROVE DESIGN;4
1. DEADLINE (Paid: 40.4%);DEFINITION OF SPRINTS FOR THE PAYMENT OF DT;3
1. DEADLINE (Paid: 40.4%);IMPROVE DOCUMENTATION;3
1. DEADLINE (Paid: 40.4%);REPAYMENT ACTIVITIES;3
1. DEADLINE (Paid: 40.4%);ADOPTION OF GOOD PRACTICES;2
1. DEADLINE (Paid: 40.4%);ARCHITECTURAL CHANGES;2
1. DEADLINE (Paid: 40.4%);CODE REVIEWING;2
1. DEADLINE (Paid: 40.4%);IMPROVEMENT IN REQUIREMENT ELICITATION;2
1. DEADLINE (Paid: 40.4%);MANAGEMENT ACTIONS;2
1. DEADLINE (Paid: 40.4%);TIME EXTENSION;2
1. DEADLINE (Paid: 40.4%);BACKLOG INCLUSION;1
1. DEADLINE (Paid: 40.4%);BUG FIXING;1
1. DEADLINE (Paid: 40.4%);CI/CD;1
1. DEADLINE (Paid: 40.4%);DEVOPS;1
1. DEADLINE (Paid: 40.4%);HIRING QUALIFIED PROFESSIONALS;1
1. DEADLINE (Paid: 40.4%);PROJECT SCOPE CHANGE;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);REFACTORING;7
2. INAPPROPRIATE PLANNING (Paid: 32.1%);IMPROVE DESIGN;3
2. INAPPROPRIATE PLANNING (Paid: 32.1%);MANAGEMENT ACTIONS;2
2. INAPPROPRIATE PLANNING (Paid: 32.1%);ADEQUATE IMPACT AND RISK ANALYSIS;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);ADOPTION OF GOOD PRACTICES;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);CODE REVIEWING;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);EXTRA EFFORT;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);HIRING QUALIFIED PROFESSIONALS;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);ORGANISATION OF THE PROJECT REPOSITORY;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);PROJECT SCOPE CHANGE;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);REPAYMENT ACTIVITIES;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);SYSTEM RETIREMENT;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);TECHNOLOGY/TOOL/PLATFORM CHANGE;1
2. INAPPROPRIATE PLANNING (Paid: 32.1%);WELL-DEFINED PROCESS;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);IMPROVE TESTING;4
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);REFACTORING;4
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);ADOPTION OF GOOD PRACTICES;3
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);EXTRA EFFORT;2
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);ADEQUATE IMPACT AND RISK ANALYSIS;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);ARCHITECTURAL CHANGES;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);CONTINUOS LEARNING;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);CONTROL AND MONITORING;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);DEFINITION OF SPRINTS FOR THE PAYMENT OF DT;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);HIRING QUALIFIED PROFESSIONALS;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);IMPROVE DOCUMENTATION;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);MANAGEMENT ACTIONS;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);PRIORITIZATION;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);REPAYMENT ACTIVITIES;1
3. NOT EFFECTIVE PROJ. MANAG. (Paid: 35.2%);STARTING THE PROJECT FROM SCRATCH;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);REFACTORING;10
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);IMPROVE DESIGN;6
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);ADOPTION OF GOOD PRACTICES;3
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);BUDGET INCREASE;3
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);IMPROVE TESTING;3
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);CODE REVIEWING;2
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);EXTRA EFFORT;2
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);APPROACHING THE CLIENT WITH THE DEVELOPMENT TEAM;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);DIVISION OF WORK LOTS;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);EXTERNAL TOOLS;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);MANAGEMENT ACTIONS;1
4. FOCUS ON PRODUCING - NO QUALITY (Paid: 34.6%);PRIORITIZATION;1
